First 2 of SOC,SOC,Occupation,Generation, 2007 Jobs , 2013 Jobs , Job Change ,PRC Job Change ,2007 Share of All Jobs,2013 Share of All Jobs,Change in Share
29,29-1141,Registered Nurses,Baby Boomer,439432,550449,111017,0.25,0.18,0.2,0.02
39,39-9021,Personal Care Aides,Baby Boomer,180948,259779,78831,0.44,0.19,0.2,0.01
41,41-2031,Retail Salespersons,Baby Boomer,568785,631476,62691,0.11,0.12,0.14,0.02
43,43-9061,"Office Clerks, General",Baby Boomer,505397,565144,59747,0.12,0.15,0.17,0.02
41,41-2011,Cashiers,Baby Boomer,269772,327563,57791,0.21,0.08,0.1,0.02
31,31-1011,Home Health Aides,Baby Boomer,104249,153126,48877,0.47,0.15,0.16,0.01
43,43-4051,Customer Service Representatives,Baby Boomer,257044,302722,45678,0.18,0.11,0.13,0.02
37,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Baby Boomer,419800,463531,43731,0.1,0.17,0.18,0.01
35,35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",Baby Boomer,151249,189608,38359,0.25,0.05,0.06,0.01
43,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",Baby Boomer,348278,381476,33198,0.1,0.18,0.21,0.03
31,31-1014,Nursing Assistants,Baby Boomer,185944,217969,32025,0.17,0.13,0.15,0.02
43,43-6013,Medical Secretaries,Baby Boomer,81148,112631,31483,0.39,0.18,0.21,0.03
43,43-4171,Receptionists and Information Clerks,Baby Boomer,137940,167526,29586,0.21,0.14,0.16,0.02
37,37-2012,Maids and Housekeeping Cleaners,Baby Boomer,238814,267382,28568,0.12,0.16,0.17,0.01
53,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",Baby Boomer,232847,260922,28075,0.12,0.1,0.12,0.02
43,43-1011,First-Line Supervisors of Office and Administrative Support Workers,Baby Boomer,232946,257407,24461,0.11,0.16,0.18,0.02
41,41-3021,Insurance Sales Agents,Baby Boomer,113339,137124,23785,0.21,0.19,0.2,0.01
29,29-2061,Licensed Practical and Licensed Vocational Nurses,Baby Boomer,122360,145095,22735,0.19,0.17,0.19,0.02
41,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Baby Boomer,269367,291864,22497,0.08,0.17,0.19,0.02
43,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Baby Boomer,495682,517449,21767,0.04,0.19,0.21,0.02
43,43-5081,Stock Clerks and Order Fillers,Baby Boomer,208438,230104,21666,0.1,0.11,0.13,0.02
